Name;Centuries;T_Played;M_Won;M_Played;Titles;AST;Money_Prizes
Akani Songsermsawad;9.0;15.0;21.0;37.0;;27.0;63450.0
Alan McManus;4.0;17.0;18.0;35.0;;26.5;56250.0
Alexander Ursenbacher;2.0;17.0;13.0;30.0;;21.7;33100.0
Alfie Burden;5.0;18.0;13.0;31.0;;20.5;37850.0
Ali Carter;28.0;18.0;34.0;59.0;;21.9;162050.0
Andrew Higginson;7.0;18.0;17.0;35.0;;21.2;54850.0
Anthony Hamilton;6.0;18.0;19.0;46.0;;28.7;55450.0
Anthony McGill;14.0;23.0;42.0;65.0;;25.3;213630.0
Barry Hawkins;40.0;21.0;47.0;74.0;;21.2;317430.0
Ben Woollaston;18.0;20.0;34.0;62.0;;22.7;84200.0
Cao Yupeng;12.0;18.0;36.0;54.0;;25.8;148000.0
Chris Wakelin;8.0;18.0;21.0;39.0;;23.9;68250.0
Daniel Wells;6.0;18.0;13.0;31.0;;24.9;40250.0
David Gilbert;17.0;20.0;32.0;57.0;;25.6;106025.0
David Grace;7.0;18.0;12.0;30.0;;27.0;33350.0
Ding Junhui;25.0;15.0;30.0;45.0;1.0;19.9;323450.0
Dominic Dale;8.0;19.0;16.0;38.0;;22.4;45850.0
Elliot Slessor;5.0;18.0;20.0;38.0;;24.7;66000.0
Fergal O'Brien;9.0;18.0;14.0;32.0;;27.5;45100.0
Gary Wilson;18.0;18.0;28.0;46.0;;21.3;75500.0
Gerard Greene;6.0;18.0;15.0;33.0;;24.2;36500.0
Graeme Dott;8.0;20.0;39.0;61.0;;19.9;169425.0
Hossein Vafaei;2.0;14.0;18.0;31.0;;22.7;62000.0
Jack Lisowski;34.0;19.0;39.0;58.0;;18.1;152350.0
Jamie Jones;14.0;18.0;22.0;40.0;;21.2;62500.0
Jimmy Robertson;24.0;20.0;30.0;50.0;;20.2;94050.0
Joe Perry;23.0;19.0;42.0;64.0;;19.5;136400.0
John Astley;3.0;18.0;16.0;34.0;;25.3;42600.0
John Higgins;57.0;20.0;67.0;87.0;2.0;22.1;585440.0
Judd Trump;73.0;20.0;62.0;90.0;1.0;18.2;437240.0
Ken Doherty;5.0;16.0;23.0;39.0;;21.5;61250.0
Kurt Maflin;14.0;18.0;18.0;36.0;;22.4;65850.0
Kyren Wilson;50.0;24.0;60.0;97.0;;23.4;414975.0
Lee Walker;;18.0;13.0;31.0;;33.8;41250.0
Li Hang;18.0;18.0;24.0;45.0;;24.6;102250.0
Liam Highfield;10.0;16.0;20.0;36.0;;24.7;59100.0
Liang Wenbo;28.0;18.0;30.0;51.0;;23.8;186165.0
Luca Brecel;16.0;22.0;35.0;60.0;1.0;18.4;318430.0
Lyu Haotian;14.0;16.0;21.0;39.0;;22.2;94000.0
Marco Fu;19.0;12.0;17.0;30.0;;20.6;137250.0
Mark Allen;50.0;21.0;45.0;68.0;;19.3;454980.0
Mark Davis;14.0;18.0;24.0;43.0;;24.0;62000.0
Mark Joyce;15.0;19.0;27.0;46.0;;25.6;88750.0
Mark King;11.0;23.0;28.0;54.0;;22.1;109705.0
Mark Selby;44.0;19.0;45.0;68.0;2.0;22.5;546355.0
Mark Williams;55.0;20.0;71.0;93.0;;18.5;870930.0
Martin Gould;25.0;19.0;40.0;68.0;;22.4;133100.0
Martin O'Donnell;9.0;19.0;24.0;43.0;;28.6;46100.0
Matthew Selt;10.0;18.0;19.0;37.0;;23.8;57000.0
Matthew Stevens;10.0;18.0;22.0;40.0;;21.3;61000.0
Mei Xiwen;2.0;17.0;12.0;29.0;;27.0;39500.0
Michael Georgiou;6.0;19.0;24.0;42.0;;20.9;84500.0
Michael Holt;6.0;19.0;24.0;47.0;;23.9;76125.0
Michael White;16.0;21.0;31.0;56.0;1.0;20.2;121800.0
Mike Dunn;2.0;18.0;23.0;41.0;;22.0;66500.0
Mitchell Mann;3.0;18.0;13.0;31.0;;30.2;32750.0
Neil Robertson;56.0;20.0;41.0;60.0;1.0;22.7;340830.0
Noppon Saengkham;14.0;19.0;25.0;44.0;;25.0;69550.0
Oliver Lines;2.0;18.0;13.0;31.0;;21.9;41750.0
Peter Ebdon;9.0;18.0;20.0;38.0;;30.6;59000.0
Ricky Walden;19.0;21.0;43.0;75.0;;23.4;116800.0
Robbie Williams;5.0;17.0;16.0;33.0;;20.3;58600.0
Robert Milkins;9.0;20.0;24.0;48.0;;18.8;90300.0
Ronnie O'Sullivan;74.0;15.0;51.0;61.0;5.0;16.7;852000.0
Rory McLeod;3.0;18.0;12.0;30.0;;29.4;41250.0
Ryan Day;37.0;23.0;52.0;86.0;2.0;20.3;289200.0
Sam Craigie;12.0;17.0;14.0;31.0;;27.8;35600.0
Scott Donaldson;5.0;18.0;12.0;30.0;;27.2;35500.0
Shaun Murphy;39.0;23.0;47.0;72.0;;20.3;446850.0
Stephen Maguire;30.0;20.0;44.0;70.0;;23.5;182140.0
Stuart Bingham;29.0;17.0;36.0;52.0;;22.6;173050.0
Stuart Carrington;10.0;16.0;19.0;35.0;;27.7;45000.0
Thepchaiya Un-Nooh;22.0;16.0;25.0;42.0;;17.0;95400.0
Tian Pengfei;12.0;17.0;19.0;36.0;;23.0;48000.0
Tom Ford;13.0;20.0;35.0;63.0;;20.9;99600.0
Xiao Guodong;18.0;17.0;31.0;48.0;;23.3;111000.0
Yan Bingtao;21.0;17.0;31.0;47.0;;21.6;144250.0
Yu Delu;4.0;16.0;20.0;36.0;;22.8;55600.0
Zhang Anda;18.0;17.0;14.0;31.0;;26.7;37500.0
Zhao Xintong;6.0;18.0;13.0;31.0;;18.5;34250.0
Zhou Yuelong;26.0;16.0;30.0;51.0;;23.8;95450.0
